Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
AMD,A10-9700,Bristol Ridge,4,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,A10-9700E,Bristol Ridge,4,3 to 3.5 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
AMD,A12-9800,Bristol Ridge,4,3.8 to 4.2 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,A12-9800E,Bristol Ridge,4,3.1 to 3.8 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
AMD,A6-9500,Bristol Ridge,2,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,A6-9500E,Bristol Ridge,2,3 to 3.4 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
AMD,A6-9550,Bristol Ridge,2,3.8 to 4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,A8-9600,Bristol Ridge,4,3.1 to 3.4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,Athlon X4 940,Bristol Ridge,4,3.2 to 3.6 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,Athlon X4 950,Bristol Ridge,4,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,Athlon X4 970,Bristol Ridge,4,3.8 to 4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
AMD,EPYC 7251,Naples,8 / 16,2.1 to 2.9 GHz,Socket SP3,14 nm,32MB,120 W,"Jun 29th, 2017"
AMD,EPYC 7281,Naples,16 / 32,2.1 to 2.7 GHz,Socket SP3,14 nm,32MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7301,Naples,16 / 32,2.2 to 2.7 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7351,Naples,16 / 32,2.4 to 2.9 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7351P,Naples,16 / 32,2.4 to 2.9 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7401,Naples,24 / 48,2 to 3 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7401P,Naples,24 / 48,2 to 3 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
AMD,EPYC 7451,Naples,24 / 48,2.3 to 3.2 GHz,Socket SP3,14 nm,64MB,180 W,"Jun 29th, 2017"
AMD,EPYC 7501,Naples,32 / 64,2 to 3 GHz,Socket SP3,14 nm,64MB,170 W,"Jun 29th, 2017"
