name,socket,form_factor,max_ram,memory_slots,price
ASRock A320M-HDV R4.0,AM4,Micro ATX,32,2,55.29
ASRock B450 Pro4,AM4,ATX,64,4,74.3
ASRock B450 Steel Legend,AM4,ATX,64,4,90.71
ASRock B450M Pro4,AM4,Micro ATX,64,4,66.51
ASRock B450M Steel Legend,AM4,Micro ATX,64,4,74.3
ASRock B450M-HDV R4.0,AM4,Micro ATX,32,2,61.33
ASRock B550 Phantom Gaming 4,AM4,ATX,128,4,76.03
ASRock B550M Pro4,AM4,Micro ATX,128,4,77.75
ASRock B560M Pro4,1200,Micro ATX,128,4,97.62
ASRock B560M-HDV,1200,Micro ATX,64,2,94.18
Asus PRIME A320M-K,AM4,Micro ATX,32,2,56.14
Asus PRIME B460-PLUS,1200,ATX,128,4,99.35
Asus PRIME B460M-A,1200,Micro ATX,128,4,90.71
Asus PRIME B550M-A (WI-FI),AM4,Micro ATX,128,4,104.54
Asus PRIME B560-PLUS,1200,ATX,128,4,103.67
Asus PRIME B560M-A,1200,Micro ATX,128,4,95.03
Asus PRIME H410M-E,1200,Micro ATX,64,2,69.11
Asus PRIME X570-PRO,AM4,ATX,128,4,245.69
Asus PRIME Z390-A,1151,ATX,128,4,149.47
Asus PRIME Z490-A,1200,ATX,128,4,215.99
Asus PRIME Z490-P,1200,ATX,128,4,176.47
Asus ROG Crosshair VIII Dark Hero,AM4,ATX,128,4,388.79
Asus ROG Crosshair VIII Formula,AM4,ATX,128,4,508.03
Asus ROG Crosshair VIII Hero,AM4,ATX,128,4,328.31
Asus ROG Crosshair VIII Hero (WI-FI),AM4,ATX,128,4,354.23
Asus ROG MAXIMUS XIII HERO,1200,ATX,128,4,415.49
Asus ROG STRIX B450-F GAMING,AM4,ATX,64,4,143.56
Asus ROG STRIX B450-F GAMING II,AM4,ATX,128,4,116.63
Asus ROG STRIX B550-A GAMING,AM4,ATX,128,4,142.55
Asus ROG STRIX B550-E GAMING,AM4,ATX,128,4,224.63
Asus ROG STRIX B550-F GAMING,AM4,ATX,128,4,148.63
Asus ROG STRIX B550-F GAMING (WI-FI),AM4,ATX,128,4,164.15
Asus ROG STRIX B560-A GAMING WIFI,1200,ATX,128,4,155.51
Asus ROG STRIX Z490-E GAMING,1200,ATX,128,4,380.15
Asus ROG STRIX Z590-A GAMING WIFI,1200,ATX,128,4,270.74
Asus ROG STRIX Z590-E GAMING WIFI,1200,ATX,128,4,328.01
Asus ROG Strix X570-E Gaming,AM4,ATX,128,4,285.11
Asus ROG Strix X570-F Gaming,AM4,ATX,128,4,259.02
Asus TUF GAMING B450M-PLUS II,AM4,Micro ATX,128,4,64.79
Asus TUF GAMING B550-PLUS,AM4,ATX,128,4,134.78
Asus TUF GAMING B550-PLUS (WI-FI),AM4,ATX,128,4,152.06
Asus TUF GAMING B550M-PLUS (WI-FI),AM4,Micro ATX,128,4,125.27
Asus TUF GAMING B560M-PLUS WIFI,1200,Micro ATX,128,4,129.59
Asus TUF GAMING X570-PLUS (WI-FI),AM4,ATX,128,4,166.74
Asus TUF GAMING X570-PRO (WI-FI),AM4,ATX,128,4,185.97
Asus TUF Gaming Z590-PLUS WIFI,1200,ATX,128,4,224.63
Gigabyte B365M DS3H,1151,Micro ATX,64,4,60.46
Gigabyte B450 AORUS ELITE V2,AM4,ATX,128,4,102.81
Gigabyte B450 AORUS M,AM4,Micro ATX,64,4,77.75
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX,64,4,100.22
Gigabyte B450M DS3H V2,AM4,Micro ATX,128,4,56.14
Gigabyte B460M DS3H,1200,Micro ATX,128,4,82.07
Gigabyte B550 AORUS ELITE AX V2,AM4,ATX,128,4,151.2
Gigabyte B550 AORUS PRO AC,AM4,ATX,128,4,171.08
Gigabyte B550 VISION D-P,AM4,ATX,128,4,296.27
Gigabyte B550M DS3H,AM4,Micro ATX,128,4,76.02
Gigabyte B560M DS3H,1200,Micro ATX,128,4,81.21
Gigabyte X570 AORUS ELITE,AM4,ATX,128,4,177.11
Gigabyte X570 AORUS ELITE WIFI,AM4,ATX,128,4,168.48
Gigabyte X570 AORUS MASTER,AM4,ATX,128,4,311.03
Gigabyte Z390 AORUS PRO WIFI,1151,ATX,128,4,179.06
Gigabyte Z490 VISION G,1200,ATX,128,4,207.35
MSI A320M-A PRO,AM4,Micro ATX,64,2,51.83
MSI B450 GAMING PRO CARBON MAX WIFI,AM4,ATX,128,4,120.95
MSI B450 Gaming Plus MAX,AM4,ATX,64,4,86.39
MSI B450 TOMAHAWK MAX,AM4,ATX,64,4,86.36
MSI B450 TOMAHAWK MAX II,AM4,ATX,128,4,86.36
MSI B450-A PRO MAX,AM4,ATX,64,4,85.45
MSI B450M BAZOOKA MAX WIFI,AM4,Micro ATX,128,4,76.03
MSI B450M PRO-VDH MAX,AM4,Micro ATX,64,4,56.69
MSI B460M PRO-VDH WIFI,1200,Micro ATX,128,4,136.09
MSI B550-A PRO,AM4,ATX,128,4,125.27
MSI B550M PRO-VDH WIFI,AM4,Micro ATX,128,4,77.75
MSI B560M PRO-VDH WIFI,1200,Micro ATX,128,4,120.95
MSI MAG B550 TOMAHAWK,AM4,ATX,128,4,129.59
MSI MAG B550M MORTAR WIFI,AM4,Micro ATX,128,4,166.8
MSI MAG X570 TOMAHAWK WIFI,AM4,ATX,128,4,222.9
MSI MEG X570 UNIFY,AM4,ATX,128,4,302.85
MSI MPG B550 GAMING CARBON WIFI,AM4,ATX,128,4,186.62
MSI MPG B550 GAMING EDGE WIFI,AM4,ATX,128,4,155.51
MSI MPG B550 GAMING PLUS,AM4,ATX,128,4,125.27
MSI MPG X570 GAMING EDGE WIFI,AM4,ATX,128,4,183.16
MSI MPG X570 GAMING PLUS,AM4,ATX,128,4,144.29
MSI MPG X570 GAMING PRO CARBON WIFI,AM4,ATX,128,4,224.63
MSI MPG Z490 GAMING EDGE WIFI,1200,ATX,128,4,172.76
MSI MPG Z490 GAMING PLUS,1200,ATX,128,4,164.15
MSI X470 GAMING PLUS MAX,AM4,ATX,64,4,86.39
MSI Z390-A PRO,1151,ATX,128,4,112.31
MSI Z490-A PRO,1200,ATX,128,4,155.51
MSI Z590-A PRO,1200,ATX,128,4,164.15
