name,wattage,price
Corsair AXi,1600,808.62
Thermaltake Toughpower DPS G RGB Titanium,1500,1122.34
Corsair HX Platinum,1000,301.53
SeaSonic PRIME Ultra Titanium,1000,266.96
Asus ROG STRIX G,1000,198.71
Asus ROG Thor 850,850,188.35
Asus ROG Strix,850,164.15
SeaSonic FOCUS Plus Platinum,850,141.68
Cooler Master V SFX Gold,850,130.45
Corsair RMx (2021),850,129.59
Corsair RMx (2018),850,125.27
NZXT C,850,112.31
Corsair SF,750,153.9
Corsair RMx White (2018),750,125.27
be quiet! Straight Power 11,750,120.87
Cooler Master V Gold V2,750,113.35
Corsair RM (2019),750,107.99
Corsair CXF,750,99.35
Cooler Master MWE Gold,750,93.3
EVGA G3,750,88.9
MSI MPG A-GF,750,77.75
EVGA GQ,750,76.79
Gigabyte P GM,750,76.02
SeaSonic FOCUS Plus Gold,650,98.5
Antec High Current Gamer Gold,650,93.78
EVGA SuperNOVA GM,650,85.54
Corsair CXM,650,73.43
EVGA SuperNOVA GA,650,73.43
MSI MPG A650GF,650,69.63
EVGA 210-GQ-0650-V1,650,64.78
EVGA G5,650,51.83
EVGA SuperNOVA GT,650,43.19
SeaSonic S12III,650,43.19
EVGA GD (2019),600,55.76
EVGA BQ,600,55.3
EVGA 100-W1-0600-K1,600,49.76
EVGA BA,600,38.87
Corsair TXM Gold,550,86.39
EVGA B5,550,51.83
Aerocool Integrator,500,150.26
Thermaltake Smart,500,43.19
EVGA BR,500,34.55
ARESGAME AGV,500,31.1
EVGA 100-W1-0500-KR,500,30.23
Corsair CXM (2015),450,51.83
Corsair CV,450,30.23
Gigabyte P-B,450,24.19
EVGA 100-N1-0400-L1,400,34.55
